station_id,hour,mean_real_power_mw,mean_reactive_power_mvar
SUB_001,0,75.63406264127377,40.470887268726344
SUB_001,1,78.44926909418524,42.92582174986607
SUB_001,2,81.69242913829983,44.59510983630992
SUB_001,3,85.54691213758474,47.817999843775986
SUB_001,4,88.32533268732074,47.858195296133154
SUB_001,5,91.8140150515036,51.38996386954517
SUB_001,6,95.5715997422441,50.975134933109494
SUB_001,7,99.0296702701075,52.704216552300565
SUB_001,8,101.65037427602724,55.985391604657266
SUB_001,9,105.17525204394057,58.597269195438905
SUB_001,10,107.94079990544816,59.47227670412145
SUB_001,11,110.17139294305719,60.99557760477628
SUB_001,12,111.87117814127885,58.985506699439064
SUB_001,13,113.30912855698874,63.22781435765729
SUB_001,14,114.2213472948671,63.90676336227182
SUB_001,15,114.43547787159035,62.91895575825411
SUB_001,16,114.95028625605478,62.03676007477487
SUB_001,17,114.95220745873692,61.987717302093785
SUB_001,18,114.60104612749886,64.46244041267734
SUB_001,19,113.38331376743174,59.72849693659708
SUB_001,20,111.33307210277881,61.380946673141814
SUB_001,21,109.34554865407591,59.987395691310525
SUB_001,22,107.9982826219176,60.415583710521574
SUB_001,23,105.00795462635662,58.88018640362549
SUB_002,0,112.99203822314257,61.30261654860393
SUB_002,1,118.5791758806952,65.55723732035526
SUB_002,2,122.86184976195082,66.90079145034701
SUB_002,3,128.39359536635496,71.01347845390877
SUB_002,4,133.25703300208784,72.37075149065117
SUB_002,5,138.5079620726262,75.89246409999956
SUB_002,6,142.81398941834718,76.64029692350827
SUB_002,7,148.65196350862016,81.72602491360546
SUB_002,8,153.51773202753535,85.33834373433666
SUB_002,9,157.06360155300203,87.84086860351745
SUB_002,10,161.84911140612084,90.05694466797101
SUB_002,11,165.12094539341024,91.00088126866167
SUB_002,12,167.73686240596163,93.02949980414627
SUB_002,13,169.72698290541354,93.12403726717204
SUB_002,14,172.36783861017648,92.54298470559944
SUB_002,15,172.2405192286098,94.00382927679433
SUB_002,16,174.19367956756093,97.82848197925522
SUB_002,17,172.89961207534066,95.52437339537467
SUB_002,18,173.0831598864591,94.28602588418279
SUB_002,19,170.44554531410353,94.88179700948687
SUB_002,20,168.74757501159237,93.51262353545496
SUB_002,21,164.7840703799163,91.9277171446474
SUB_002,22,161.92791095617258,89.39922255591627
SUB_002,23,157.41623517454568,84.61741897698333
SUB_003,0,55.812579125371165,30.645112145001917
SUB_003,1,59.1643340489543,32.236655419359785
SUB_003,2,61.72480190910722,33.809978544718355
SUB_003,3,63.74195198095538,35.12721566862019
SUB_003,4,66.79200432086304,37.36265161009183
SUB_003,5,69.26420517844467,38.98234793346465
SUB_003,6,71.75545654489683,41.11027202222529
SUB_003,7,73.8942509554532,40.93318339136653
SUB_003,8,76.87170768945967,42.621683620457624
SUB_003,9,78.59435799910949,42.4356405718524
SUB_003,10,80.73333233704585,44.18433752858939
SUB_003,11,82.39901935297512,45.883272886051515
SUB_003,12,83.92853600911191,46.214407032702276
SUB_003,13,85.16485149366319,46.841167585110526
SUB_003,14,85.31823739675822,46.45708998614362
SUB_003,15,86.63241950689192,47.16266287998686
SUB_003,16,86.8189835449136,50.30635462546824
SUB_003,17,86.41219625117661,48.38393208036314
SUB_003,18,85.64999237153995,46.255807553261434
SUB_003,19,85.46907143713973,47.257509912965546
SUB_003,20,83.8069675972141,46.59895148347604
SUB_003,21,82.54789812113464,45.985265591046534
SUB_003,22,80.66096512938378,44.54255084654186
SUB_003,23,78.75485865054117,43.325134079821424
